,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1603140787.0,0.0,0.0,0.0,0.0,0.0
2,1603140787.0,0.0,0.0,0.0,0.0,0.0
3,1603140787.0,0.0,0.0,0.0,0.0,0.0
4,1603140787.0,0.0,0.0,0.0,0.0,0.0
5,1603140787.0,0.0,0.0,0.0,0.0,0.0
6,1603140787.0,0.0,0.0,0.0,0.0,0.0
7,1603140787.0,0.0,0.0,0.0,0.0,0.0
8,1603140787.0,0.0,0.0,0.0,0.0,0.0
9,1603140787.0,0.0,0.0,0.0,0.0,0.0
10,1603140787.0,0.0,0.0,0.0,0.0,0.0
11,1603140787.0,0.0,0.0,0.0,0.0,0.0
12,1603140787.0,0.0,0.0,0.0,0.0,0.0
13,1603140788.0,0.0,0.0,0.0,0.0,0.0
14,1603140788.0,0.0,0.0,0.0,0.0,0.0
15,1603140788.0,0.0,0.0,0.0,0.0,0.0
16,1603140788.0,0.0,0.0,0.0,0.0,0.0
17,1603140788.0,0.0,0.0,0.0,0.0,0.0
18,1603140788.0,0.0,0.0,0.0,0.0,0.0
19,1603140788.0,0.0,0.0,0.0,0.0,0.0
20,1603140788.0,0.0,0.0,0.0,0.0,0.0
21,1603140788.0,0.0,0.0,0.0,0.0,0.0
22,1603140788.0,0.0,0.0,0.0,0.0,0.0
23,1603140788.0,0.0,0.0,0.0,0.0,0.0
24,1603140788.0,0.0,0.0,0.0,0.0,0.0
25,1603140788.0,0.0,0.0,0.0,0.0,0.0
26,1603140788.0,0.0,0.0,0.0,0.0,0.0
27,1603140788.0,0.0,0.0,0.0,0.0,0.0
28,1603140788.0,0.0,0.0,0.0,0.0,0.0
29,1603140788.0,0.0,0.0,0.0,0.0,0.0
30,1603140788.0,0.0,0.0,0.0,0.0,0.0
31,1603140788.0,0.0,0.0,0.0,0.0,0.0
32,1603140788.0,0.0,0.0,0.0,0.0,0.0
33,1603140789.0,0.0,0.0,0.0,0.0,0.0
34,1603140789.0,0.0,0.0,0.0,0.0,0.0
35,1603140789.0,0.0,0.0,0.0,0.0,0.0
36,1603140789.0,0.0,0.0,0.0,0.0,0.0
37,1603140789.0,0.0,0.0,0.0,0.0,0.0
38,1603140789.0,0.0,0.0,0.0,0.0,0.0
39,1603140789.0,0.0,0.0,0.0,0.0,0.0
40,1603140789.0,0.0,0.0,0.0,0.0,0.0
41,1603140789.0,0.0,0.0,0.0,0.0,0.0
42,1603140789.0,0.0,0.0,0.0,0.0,0.0
43,1603140789.0,0.0,0.0,0.0,0.0,0.0
44,1603140789.0,0.0,0.0,0.0,0.0,0.0
45,1603140789.0,0.0,0.0,0.0,0.0,0.0
46,1603140789.0,0.0,0.0,0.0,0.0,0.0
47,1603140789.0,0.0,0.0,0.0,0.0,0.0
48,1603140789.0,0.0,0.0,0.0,0.0,0.0
49,1603140789.0,0.0,0.0,0.0,0.0,0.0
50,1603140789.0,0.0,0.0,0.0,0.0,0.0
51,1603140789.0,0.0,0.0,0.0,0.0,0.0
52,1603140789.0,0.0,0.0,0.0,0.0,0.0
53,1603140790.0,0.0,0.0,0.0,0.0,0.0
54,1603140790.0,0.0,0.0,0.0,0.0,0.0
55,1603140790.0,0.0,0.0,0.0,0.0,0.0
56,1603140790.0,0.0,0.0,0.0,0.0,0.0
57,1603140790.0,0.0,0.0,0.0,0.0,0.0
58,1603140790.0,0.0,0.0,0.0,0.0,0.0
59,1603140790.0,0.0,0.0,0.0,0.0,0.0
60,1603140790.0,0.0,0.0,0.0,0.0,0.0
61,1603140790.0,0.0,0.0,0.0,0.0,0.0
