,ros_time,wheel_meas_index,cmd_right_vel,meas_right_vel,js_right_vel,imu_vel
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1604064912468455076,0,0.0,0,0,0.0
2,1604064912478518009,0,0.0,0,0,0.0
3,1604064912488542079,0,0.0,0,0,0.0
4,1604064912498558044,0,0.0,0,0,0.0
5,1604064912508579969,0,0.0,0,0,0.0
6,1604064912518542051,0,0.0,0,0,0.0
7,1604064912528594970,0,0.0,0,0,0.0
8,1604064912538578987,0,0.0,0,0,0.0
9,1604064912548564910,0,0.0,0,0,0.0
10,1604064912558487892,0,0.0,0,0,0.0
11,1604064912568479061,0,0.0,0,0,0.0
12,1604064912578506946,0,0.0,0,0,0.0
13,1604064912588504076,0,0.0,0,0,0.0
14,1604064912598459959,0,0.0,0,0,0.0
15,1604064912608498096,0,0.0,0,0,0.0
16,1604064912618525981,0,0.0,0,0,0.0
17,1604064912628530979,0,0.0,0,0,0.0
18,1604064912638547897,0,0.0,0,0,0.0
19,1604064912648533105,0,0.0,0,0,0.0
20,1604064912658612012,0,0.0,0,0,0.0
21,1604064912668591976,0,0.0,0,0,0.0
22,1604064912678606033,0,0.0,0,0,0.0
23,1604064912688553094,0,0.0,0,0,0.0
24,1604064912698576927,0,0.0,0,0,0.0
25,1604064912708533048,0,0.0,0,0,0.0
26,1604064912718523979,0,0.0,0,0,0.0
27,1604064912728605031,0,0.0,0,0,0.0
28,1604064912738501071,0,0.0,0,0,0.0
29,1604064912748610019,0,0.0,0,0,0.0
30,1604064912758636951,0,0.0,0,0,0.0
31,1604064912768528938,0,0.0,0,0,0.0
32,1604064912778505086,0,0.0,0,0,0.0
33,1604064912788538932,0,0.0,0,0,0.0
34,1604064912798592090,0,0.0,0,0,0.0
35,1604064912808583974,0,0.0,0,0,0.0
36,1604064912818588018,0,0.0,0,0,0.0
37,1604064912828550100,0,0.0,0,0,0.0
38,1604064912838515043,0,0.0,0,0,0.0
39,1604064912848524093,0,0.0,0,0,0.0
40,1604064912858592987,0,0.0,0,0,0.0
41,1604064912868571043,0,0.0,0,0,0.0
42,1604064912878567934,0,0.0,0,0,0.0
