,ros_time,wheel_meas_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1603300525003149986,0,0.0,0,0.0,0
2,1603300525053128957,0,0.0,0,0.0,0
3,1603300525103117942,0,0.0,0,0.0,0
4,1603300525153109073,0,0.0,0,0.0,0
5,1603300525203113079,0,0.0,0,0.0,0
6,1603300525253115892,0,0.0,0,0.0,0
7,1603300525303103923,0,0.0,0,0.0,0
8,1603300525353044986,0,0.0,0,0.0,0
9,1603300525403088092,0,0.0,0,0.0,0
10,1603300525453175067,0,0.0,0,0.0,0
11,1603300525503155946,0,0.0,0,0.0,0
12,1603300525553194046,0,0.0,0,0.0,0
13,1603300525603174924,0,0.0,0,0.0,0
14,1603300525653192043,0,0.0,0,0.0,0
15,1603300525703263998,0,0.0,0,0.0,0
16,1603300525753251075,0,0.0,0,0.0,0
17,1603300525803246974,0,0.0,0,0.0,0
18,1603300525853233098,0,0.0,0,0.0,0
19,1603300525903254032,0,0.0,0,0.0,0
20,1603300525953164100,0,0.0,0,0.0,0
21,1603300526003226995,0,0.0,0,0.0,0
22,1603300526053224086,0,0.0,0,0.0,0
23,1603300526103254079,0,0.0,0,0.0,0
24,1603300526153063058,0,0.0,0,0.0,0
25,1603300526203114032,0,0.0,0,0.0,0
26,1603300526253124952,0,0.0,0,0.0,0
27,1603300526303132057,0,0.0,0,0.0,0
28,1603300526353148937,0,0.0,0,0.0,0
29,1603300526403172016,0,0.0,0,0.0,0
30,1603300526453205108,0,0.0,0,0.0,0
31,1603300526503192901,0,0.0,0,0.0,0
32,1603300526553221940,0,0.0,0,0.0,0
33,1603300526603104114,0,0.0,0,0.0,0
34,1603300526653069019,0,0.0,0,0.0,0
35,1603300526703099966,0,0.0,0,0.0,0
36,1603300526753288984,0,0.0,0,0.0,0
37,1603300526803194046,0,0.0,0,0.0,0
38,1603300526853245019,0,0.0,0,0.0,0
39,1603300526903206110,0,0.0,0,0.0,0
40,1603300526953246116,0,0.0,0,0.0,0
41,1603300527003258943,0,0.0,0,0.0,0
42,1603300527053231000,0,0.0,0,0.0,0
43,1603300527103153944,0,0.0,0,0.0,0
44,1603300527153168916,0,0.0,0,0.0,0
45,1603300527203093051,0,0.0,0,0.0,0
46,1603300527253233909,0,0.0,0,0.0,0
47,1603300527303224086,0,0.0,0,0.0,0
48,1603300527353223085,0,0.0,0,0.0,0
49,1603300527403181076,0,0.0,0,0.0,0
50,1603300527453242063,0,0.0,0,0.0,0
51,1603300527503232002,0,0.0,0,0.0,0
52,1603300527553251981,0,0.0,0,0.0,0
53,1603300527603061914,0,0.0,0,0.0,0
54,1603300527652993917,0,0.0,0,0.0,0
55,1603300527703048944,0,0.0,0,0.0,0
56,1603300527753185987,0,0.0,0,0.0,0
57,1603300527803236007,0,0.0,0,0.0,0
58,1603300527853184938,0,0.0,0,0.0,0
59,1603300527903238058,0,0.0,0,0.0,0
60,1603300527953186988,0,0.0,0,0.0,0
61,1603300528003240108,0,0.0,0,0.0,0
62,1603300528053272962,0,0.0,0,0.0,0
63,1603300528103167057,0,0.0,0,0.0,0
64,1603300528153253078,0,0.0,0,0.0,0
65,1603300528203191041,0,0.0,0,0.0,0
66,1603300528253236055,0,0.0,0,0.0,0
67,1603300528303242921,0,0.0,0,0.0,0
68,1603300528353106021,0,0.0,0,0.0,0
69,1603300528403037071,0,0.0,0,0.0,0
70,1603300528453027963,0,0.0,0,0.0,0
71,1603300528503015041,0,0.0,0,0.0,0
72,1603300528552999019,0,0.0,0,0.0,0
73,1603300528603003978,0,0.0,0,0.0,0
74,1603300528652992010,0,0.0,0,0.0,0
75,1603300528703043937,0,0.0,0,0.0,0
76,1603300528753006935,0,0.0,0,0.0,0
77,1603300528802990913,0,0.0,0,0.0,0
78,1603300528852993965,0,0.0,0,0.0,0
79,1603300528903017997,0,0.0,0,0.0,0
80,1603300528952995061,0,0.0,0,0.0,0
