,ros_time,wheel_meas_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,warthog_odom_lin_vel,warthog_odom_ang_vel
76,1603824042952205896,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
77,1603824043002316951,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
78,1603824043052223920,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
79,1603824043102211952,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
80,1603824043152136087,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
81,1603824043202270030,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
82,1603824043252187013,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
83,1603824043302192926,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
84,1603824043352252006,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
85,1603824043402205944,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
86,1603824043452255010,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
87,1603824043502152919,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
88,1603824043552177906,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
89,1603824043602242946,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
90,1603824043652195930,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
91,1603824043702219963,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
92,1603824043752145051,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
93,1603824043802216053,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
94,1603824043852163076,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
95,1603824043902185916,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
96,1603824043952229976,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
97,1603824044002230882,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
98,1603824044052196979,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
99,1603824044102196931,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
100,1603824044152214050,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
101,1603824044202270030,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
102,1603824044252140045,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
103,1603824044302158117,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
104,1603824044352125883,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
105,1603824044402168989,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
106,1603824044452171087,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
