,ros_time,wheel_meas_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,left_js_vel,right_js_vel,icp_odom_x,icp_odom_y,icp_odom_z,icp_odom_w
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1602248610023685873,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,1602248610023685873,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
3,1602248610033804084,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
4,1602248610043853357,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,1602248610053965746,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
6,1602248610064111072,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,1602248610074472716,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
8,1602248610084592630,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
9,1602248610094675960,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,1602248610104765537,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,1602248610114857572,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,1602248610124942177,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,1602248610135039813,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,1602248610145149502,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,1602248610155285680,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,1602248610165432729,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,1602248610175537621,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,1602248610185640383,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,1602248610195744851,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,1602248610205829180,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,1602248610215932957,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,1602248610226041273,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,1602248610236181467,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,1602248610246248376,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,1602248610256351732,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,1602248610266437748,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
27,1602248610276500359,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,1602248610286604636,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,1602248610296697754,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,1602248610306793110,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,1602248610316885326,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
32,1602248610327012097,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
33,1602248610337104252,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,1602248610347230564,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,1602248610357379361,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,1602248610367452170,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,1602248610377500755,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
38,1602248610387607152,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,1602248610397732478,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,1602248610407811691,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,1602248610417877480,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
42,1602248610427985203,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,1602248610438061158,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,1602248610448210186,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,1602248610458372760,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,1602248610468475881,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,1602248610478575880,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
48,1602248610488889552,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
49,1602248610493919909,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,1602248610504039006,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,1602248610514149319,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,1602248610524275310,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
53,1602248610534498732,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,1602248610544579137,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
55,1602248610554717549,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,1602248610564782194,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
57,1602248610574852673,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,1602248610584921491,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,1602248610594984610,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,1602248610605042453,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,1602248610615099037,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,1602248610625173540,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
63,1602248610635248428,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
64,1602248610645312355,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
65,1602248610655371999,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,1602248610665437442,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,1602248610675504574,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
68,1602248610685580700,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
69,1602248610695652767,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,1602248610705720464,0,0.0,0,0.0,0,0.0,0.0,0.00011962652206420898,9.909272193908691e-05,0.3867336887244957,0.9218693668387338
