,ros_time,icp_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,icp_pos_x,icp_pos_y,icp_quat_x,icp_quat_y,icp_quat_z,icp_quat_w
45,1602248612161894402,10,0.0,0.0,0.0,0.0,-8.004903793334961e-05,-0.00012612342834472656,0.02133399243517842,-0.011410453707901377,0.3849139907442238,0.9226353306219744
46,1602248612212182554,11,0.0,0.0,0.0,0.0,3.933906555175781e-05,-0.0003329813480377197,0.021309791339789184,-0.011422257642484689,0.3847690596200474,0.9226961600435939
47,1602248612262693328,12,0.0,0.0,0.0,0.0,0.00017881393432617188,0.0005669295787811279,0.02140252080069915,-0.011434537931352852,0.3847869151363102,0.9226864540912251
48,1602248612313017674,12,0.0,0.0,0.0,0.0,0.00017881393432617188,0.0005669295787811279,0.02140252080069915,-0.011434537931352852,0.3847869151363102,0.9226864540912251
49,1602248612363806895,13,0.0,0.0,0.0,0.0,0.0009343922138214111,0.0005134046077728271,0.0213841695834621,-0.011453639310630072,0.3847767628003805,0.9226908548892685
50,1602248612409126739,13,0.0,0.0,0.0,0.0,0.0009343922138214111,0.0005134046077728271,0.0213841695834621,-0.011453639310630072,0.3847767628003805,0.9226908548892685
51,1602248612461232929,14,0.0,0.0,0.0,0.0,-0.0007010698318481445,-0.0008889138698577881,0.02133828988172547,-0.011426238791451165,0.38485426192033745,0.922659887359969
52,1602248612511549013,14,0.0,0.0,0.0,0.0,-0.0007010698318481445,-0.0008889138698577881,0.02133828988172547,-0.011426238791451165,0.38485426192033745,0.922659887359969
53,1602248612562302593,15,0.0,0.0,0.0,0.0,0.00016817450523376465,-0.000700831413269043,0.021348973208046754,-0.011483113233303475,0.3849471888348238,0.9226202134888252
54,1602248612612638219,15,0.0,0.0,0.0,0.0,0.00016817450523376465,-0.000700831413269043,0.021348973208046754,-0.011483113233303475,0.3849471888348238,0.9226202134888252
55,1602248612663118086,16,0.0,0.0,0.0,0.0,-0.0007351338863372803,-0.002036362886428833,0.021275577083909127,-0.011394894996671828,0.3848409536408204,0.92266728413159
56,1602248612713408916,16,0.0,0.0,0.0,0.0,-0.0007351338863372803,-0.002036362886428833,0.021275577083909127,-0.011394894996671828,0.3848409536408204,0.92266728413159
57,1602248612759784506,17,0.0,0.0,0.0,0.0,0.00025784969329833984,-0.0008154213428497314,0.021380948852819274,-0.011359290578326142,0.38491882042704195,0.9226328514937204
58,1602248612810070433,17,0.0,0.0,0.0,0.0,0.00025784969329833984,-0.0008154213428497314,0.021380948852819274,-0.011359290578326142,0.38491882042704195,0.9226328514937204
59,1602248612861871189,18,0.0,0.0,0.0,0.0,-0.0012696385383605957,-0.0014346837997436523,0.021379252646828547,-0.01146975724407702,0.3849128245427066,0.9226340224183188
60,1602248612912297326,18,0.0,0.0,0.0,0.0,-0.0012696385383605957,-0.0014346837997436523,0.021379252646828547,-0.01146975724407702,0.3849128245427066,0.9226340224183188
61,1602248612962635240,18,0.0,0.0,0.0,0.0,-0.0012696385383605957,-0.0014346837997436523,0.021379252646828547,-0.01146975724407702,0.3849128245427066,0.9226340224183188
62,1602248613013001983,19,0.0,0.0,0.0,0.0,-0.0006880760192871094,-0.0020371973514556885,0.02127525093588403,-0.011403302294524149,0.3848320210974758,0.9226709663451368
63,1602248613063600133,19,0.0,0.0,0.0,0.0,-0.0006880760192871094,-0.0020371973514556885,0.02127525093588403,-0.011403302294524149,0.3848320210974758,0.9226709663451368
64,1602248613113908879,20,0.0,0.0,0.0,0.0,-0.000750422477722168,-0.0035618841648101807,0.021305680073412672,-0.01142318402933681,0.38489070453887175,0.9226455054759788
65,1602248613160742824,21,0.0,0.0,0.0,0.0,-0.001078099012374878,-0.0025451481342315674,0.021355138549750918,-0.011321300940220408,0.3848517860167599,0.9226618738350276
66,1602248613211074537,21,0.0,0.0,0.0,0.0,-0.001078099012374878,-0.0025451481342315674,0.021355138549750918,-0.011321300940220408,0.3848517860167599,0.9226618738350276
67,1602248613261395214,22,0.0,0.0,0.0,0.0,0.00012239813804626465,-0.002362757921218872,0.021317899555033788,-0.011413404209938438,0.38497872777521247,0.922608649360787
68,1602248613311925536,22,0.0,0.0,0.0,0.0,0.00012239813804626465,-0.002362757921218872,0.021317899555033788,-0.011413404209938438,0.38497872777521247,0.922608649360787
69,1602248613362302859,22,0.0,0.0,0.0,0.0,0.00012239813804626465,-0.002362757921218872,0.021317899555033788,-0.011413404209938438,0.38497872777521247,0.922608649360787
70,1602248613412617099,23,0.0,0.0,0.0,0.0,-0.00011500716209411621,-0.0035004019737243652,0.021408651064413874,-0.011412556533807579,0.3849443990508583,0.9226208999024825
71,1602248613463045547,24,0.0,0.0,0.0,0.0,-0.000979989767074585,-0.0024153292179107666,0.021340170688491825,-0.011418714363852889,0.3849046376315829,0.9226390129630464
72,1602248613513364299,24,0.0,0.0,0.0,0.0,-0.000979989767074585,-0.0024153292179107666,0.021340170688491825,-0.011418714363852889,0.3849046376315829,0.9226390129630464
73,1602248613563674989,25,0.0,0.0,0.0,0.0,1.3053417205810547e-05,-0.0023064613342285156,0.021267122373118702,-0.011372819760779838,0.38487429369649523,0.9226539117588064
74,1602248613614032908,25,0.0,0.0,0.0,0.0,1.3053417205810547e-05,-0.0023064613342285156,0.021267122373118702,-0.011372819760779838,0.38487429369649523,0.9226539117588064
75,1602248613659304201,26,0.0,0.0,0.0,0.0,-0.0007261037826538086,-0.0020256340503692627,0.021310040326183666,-0.011376345431497759,0.3849665639416975,0.9226143829898726
76,1602248613709610896,26,0.0,0.0,0.0,0.0,-0.0007261037826538086,-0.0020256340503692627,0.021310040326183666,-0.011376345431497759,0.3849665639416975,0.9226143829898726
77,1602248613761582895,27,0.0,0.0,0.0,0.0,-6.386637687683105e-05,-0.0011404156684875488,0.02137031816071578,-0.011493160993586804,0.38481996037846333,0.9226726620964335
78,1602248613811906917,27,0.0,0.0,0.0,0.0,-6.386637687683105e-05,-0.0011404156684875488,0.02137031816071578,-0.011493160993586804,0.38481996037846333,0.9226726620964335
79,1602248613863064359,28,0.0,0.0,0.0,0.0,-0.00046256184577941895,-0.0021061301231384277,0.021408373753350196,-0.011402670757427702,0.3849165533882288,0.9226326334593208
80,1602248613913392307,28,0.0,0.0,0.0,0.0,-0.00046256184577941895,-0.0021061301231384277,0.021408373753350196,-0.011402670757427702,0.3849165533882288,0.9226326334593208
81,1602248613959696847,28,0.0,0.0,0.0,0.0,-0.00046256184577941895,-0.0021061301231384277,0.021408373753350196,-0.011402670757427702,0.3849165533882288,0.9226326334593208
82,1602248614010003772,29,0.0,0.0,0.0,0.0,-0.00024238228797912598,-0.0031403303146362305,0.021294945739850274,-0.01138445981430609,0.3849485477823236,0.92262214352122
83,1602248614060303398,30,0.0,0.0,0.0,0.0,-0.0010136067867279053,-0.001107931137084961,0.02133043299833567,-0.011447411305608335,0.3847788964149692,0.9226913151550074
84,1602248614110659713,30,0.0,0.0,0.0,0.0,-0.0010136067867279053,-0.001107931137084961,0.02133043299833567,-0.011447411305608335,0.3847788964149692,0.9226913151550074
85,1602248614160971781,31,0.0,0.0,0.0,0.0,-0.0002569258213043213,-0.0014138221740722656,0.02131165305103414,-0.01135804385684476,0.3848989399686999,0.9226427598915078
86,1602248614211271365,31,0.0,0.0,0.0,0.0,-0.0002569258213043213,-0.0014138221740722656,0.02131165305103414,-0.01135804385684476,0.3848989399686999,0.9226427598915078
87,1602248614261738917,32,0.0,0.0,0.0,0.0,-0.0006012916564941406,-0.0021542608737945557,0.02124196044455114,-0.0113927301016802,0.3848496873687369,0.9226644659362945
88,1602248614312024480,32,0.0,0.0,0.0,0.0,-0.0006012916564941406,-0.0021542608737945557,0.02124196044455114,-0.0113927301016802,0.3848496873687369,0.9226644659362945
89,1602248614362333253,33,0.0,0.0,0.0,0.0,-0.0005331337451934814,-0.0029056668281555176,0.021407568336110305,-0.011455961061290158,0.3849095044330596,0.922634934930941
90,1602248614412700348,33,0.0,0.0,0.0,0.0,-0.0005331337451934814,-0.0029056668281555176,0.021407568336110305,-0.011455961061290158,0.3849095044330596,0.922634934930941
91,1602248614463913754,34,0.0,0.0,0.0,0.0,-0.0005224943161010742,-0.002085447311401367,0.021344625625444737,-0.011479213764089185,0.38488131999192776,0.9226478311411392
92,1602248614509171411,34,0.0,0.0,0.0,0.0,-0.0005224943161010742,-0.002085447311401367,0.021344625625444737,-0.011479213764089185,0.38488131999192776,0.9226478311411392
93,1602248614559475072,35,0.0,0.0,0.0,0.0,-0.0001920461654663086,-0.0023970603942871094,0.02122991756231579,-0.011386082525793017,0.3849162058364865,0.9226370668153198
94,1602248614609783736,35,0.0,0.0,0.0,0.0,-0.0001920461654663086,-0.0023970603942871094,0.02122991756231579,-0.011386082525793017,0.3849162058364865,0.9226370668153198
95,1602248614660083028,36,0.0,0.0,0.0,0.0,-0.0004929900169372559,-0.0027836859226226807,0.021394346927754663,-0.011402431991007574,0.38494828336165904,0.9226196805084566
96,1602248614710415945,36,0.0,0.0,0.0,0.0,-0.0004929900169372559,-0.0027836859226226807,0.021394346927754663,-0.011402431991007574,0.38494828336165904,0.9226196805084566
97,1602248614762521686,37,0.0,0.0,0.0,0.0,-0.0003184378147125244,-0.0021279454231262207,0.021336244371197653,-0.011420235831975592,0.38494068935175424,0.9226239847199089
98,1602248614812836001,37,0.0,0.0,0.0,0.0,-0.0003184378147125244,-0.0021279454231262207,0.021336244371197653,-0.011420235831975592,0.38494068935175424,0.9226239847199089
99,1602248614859813546,38,0.0,0.0,0.0,0.0,0.00020310282707214355,-0.002476304769515991,0.021270225296942818,-0.011408774034086426,0.3850099144595492,0.9225967701369974
100,1602248614910116898,38,0.0,0.0,0.0,0.0,0.00020310282707214355,-0.002476304769515991,0.021270225296942818,-0.011408774034086426,0.3850099144595492,0.9225967701369974
